kick ass : f_popularity=42.2485207101 , v_popularity=59.7515690171
scallops sea : f_popularity=3.42857142857 , v_popularity=5.0
truffle roasted : f_popularity=4.44444444444 , v_popularity=6.40312423743
beef rice : f_popularity=86.9129287599 , v_popularity=139.428296985
clam sauce : f_popularity=4.11764705882 , v_popularity=6.10327780787
almond chicken : f_popularity=187.03022339 , v_popularity=271.321303992
chocolate cake : f_popularity=110.801571709 , v_popularity=191.236110607
beans and rice : f_popularity=18.0402684564 , v_popularity=64.8556088554
light rail : f_popularity=70.7159090909 , v_popularity=136.124942608
speck : f_popularity=1.2 , v_popularity=1.80277563773
bacon : f_popularity=277.319942611 , v_popularity=540.848407597
the dimsum : f_popularity=93.2376237624 , v_popularity=148.222805263
dim sum : f_popularity=978.643234905 , v_popularity=8572.72477104
enchiladas : f_popularity=34.7050359712 , v_popularity=49.1757053839
white wine : f_popularity=56.24 , v_popularity=79.5565836371
chili powder : f_popularity=27.6396396396 , v_popularity=39.3223854821
chinese culture : f_popularity=60.3585657371 , v_popularity=90.4170890927
jasmine rice : f_popularity=95.2230576441 , v_popularity=144.233317926
mozzarella : f_popularity=22.3779527559 , v_popularity=51.1003913879
chicken soup : f_popularity=204.326139089 , v_popularity=297.800268637
downtown phoenix : f_popularity=73.2651757188 , v_popularity=114.132598323
shish kabob : f_popularity=3.42857142857 , v_popularity=5.0
chow mein : f_popularity=1925.10782373 , v_popularity=3714.24894831
bra : f_popularity=3.42857142857 , v_popularity=5.0
brown rice : f_popularity=995.943238731 , v_popularity=1831.53924337
spinach salad : f_popularity=16.5 , v_popularity=34.7850542619
lazy sunday : f_popularity=26.6355140187 , v_popularity=37.9110801745
pf chang : f_popularity=192.822055138 , v_popularity=286.818758103
flip flops : f_popularity=12.2040816327 , v_popularity=17.3565549577
rice cake : f_popularity=151.042780749 , v_popularity=288.766341529
chop suey : f_popularity=276.571682992 , v_popularity=399.984062182
mu shu pork : f_popularity=156.515103339 , v_popularity=222.904127373
honey : f_popularity=1479.6568291 , v_popularity=2806.80534594
buffalo wings : f_popularity=24.7058823529 , v_popularity=36.6196668472
green beans : f_popularity=753.317205762 , v_popularity=1413.51804021
butter chicken : f_popularity=10.6046511628 , v_popularity=15.305227865
gluten free : f_popularity=255.437864887 , v_popularity=454.164342502
crispy kau : f_popularity=11.2777777778 , v_popularity=29.8328677804
pizza : f_popularity=642.272924188 , v_popularity=1014.23715175
wedding cake : f_popularity=4.11764705882 , v_popularity=6.10327780787
noodle soup : f_popularity=1064.28382214 , v_popularity=4190.70713007
braised abalone : f_popularity=11.9166666667 , v_popularity=17.0293863659
salsa : f_popularity=130.203773585 , v_popularity=460.317281883
beef tenderloin : f_popularity=90.4279475983 , v_popularity=178.137587275
shrimp soup : f_popularity=60.9230769231 , v_popularity=108.33743582
fresh air : f_popularity=48.9183673469 , v_popularity=69.3541635376
sun prairie : f_popularity=35.2 , v_popularity=70.2281994643
shark fin : f_popularity=135.356321839 , v_popularity=272.029410175
mexican cuisine : f_popularity=24.9438202247 , v_popularity=75.5049667241
lake mead : f_popularity=33.3134328358 , v_popularity=47.5078940809
thyme : f_popularity=3.75 , v_popularity=5.83095189485
potatoes : f_popularity=331.938461538 , v_popularity=624.864985417
panino : f_popularity=3.07692307692 , v_popularity=4.71699056603
xiaolongbao : f_popularity=22.2857142857 , v_popularity=32.5
milk chocolate : f_popularity=14.5423728814 , v_popularity=21.0059515376
rosemary : f_popularity=3.75 , v_popularity=5.83095189485
lentil soup : f_popularity=4.0 , v_popularity=5.65685424949
die hard : f_popularity=30.6991869919 , v_popularity=43.5229824346
chinese buffet : f_popularity=577.981651376 , v_popularity=1314.61971688
mashed potatoes : f_popularity=62.5578635015 , v_popularity=133.608570084
tomatoes and onions : f_popularity=8.57142857143 , v_popularity=12.5
tourist trap : f_popularity=53.023255814 , v_popularity=76.5261393251
tater tots : f_popularity=4.11764705882 , v_popularity=6.10327780787
food allergies : f_popularity=77.6758409786 , v_popularity=118.457798393
egg yolk : f_popularity=17.7777777778 , v_popularity=25.6124969497
long island : f_popularity=57.8626609442 , v_popularity=82.6513762741
ground beef : f_popularity=29.4237288136 , v_popularity=41.7731971484
jade chicken : f_popularity=14.7673216132 , v_popularity=476.059082468
green onions : f_popularity=548.480854853 , v_popularity=803.234087922
spinach : f_popularity=409.549510337 , v_popularity=684.240454811
provolone : f_popularity=6.60869565217 , v_popularity=19.4164878389
inferno : f_popularity=23.4455445545 , v_popularity=36.9628191566
tuna tartare : f_popularity=24.3564356436 , v_popularity=36.335244598
guy fieri : f_popularity=14.1992882562 , v_popularity=133.21129832
french fries : f_popularity=137.319587629 , v_popularity=211.473402583
canadian bacon : f_popularity=9.33333333333 , v_popularity=15.6524758425
fast food : f_popularity=1628.14164076 , v_popularity=2768.21065853
lemon juice : f_popularity=19.2207792208 , v_popularity=27.2442654517
mint : f_popularity=218.476190476 , v_popularity=401.154583671
buddha's delight : f_popularity=19.0 , v_popularity=26.8700576851
pork chop rice : f_popularity=64.2206896552 , v_popularity=108.226614102
poached egg : f_popularity=16.9583333333 , v_popularity=38.6005181312
cong you bing : f_popularity=19.55 , v_popularity=28.6006992922
grilled tomato : f_popularity=5.09090909091 , v_popularity=8.0622577483
flank steak : f_popularity=32.9696969697 , v_popularity=46.6904701197
italian sausage : f_popularity=9.4358974359 , v_popularity=14.0089257261
fortune cookie : f_popularity=454.32282202 , v_popularity=670.925666523
sweet and sour sauce : f_popularity=690.750087873 , v_popularity=1020.25205219
hot and sour soup : f_popularity=1757.45271726 , v_popularity=3179.06417048
sierra nevada : f_popularity=3.75 , v_popularity=5.83095189485
sage : f_popularity=18.8717948718 , v_popularity=28.0178514522
circus circus : f_popularity=20.5581395349 , v_popularity=31.064449134
fennel : f_popularity=16.4347826087 , v_popularity=24.9649754656
bread onion : f_popularity=3.73333333333 , v_popularity=5.31507290637
comfort food : f_popularity=424.54642476 , v_popularity=692.942277538
salad bar : f_popularity=174.18556701 , v_popularity=288.027776438
kabob : f_popularity=11.2 , v_popularity=15.9452187191
wolfgang puck : f_popularity=9.42857142857 , v_popularity=22.803508502
las vegas strip : f_popularity=106.887966805 , v_popularity=179.780421626
home run : f_popularity=86.8710601719 , v_popularity=123.657793931
rice : f_popularity=5325.32846187 , v_popularity=30407.4788375
chocolate syrup : f_popularity=18.9473684211 , v_popularity=26.9072480941
spanish rice : f_popularity=17.1594202899 , v_popularity=24.4591496173
hip hop : f_popularity=25.7196261682 , v_popularity=38.5519130524
mamma mia : f_popularity=3.23076923077 , v_popularity=4.60977222865
regular noodles : f_popularity=32.9411764706 , v_popularity=48.8262224629
spare ribs : f_popularity=515.141843972 , v_popularity=831.44693156
goulash : f_popularity=2.4 , v_popularity=3.60555127546
lo mein : f_popularity=1784.32912576 , v_popularity=3266.17880711
salt and pepper : f_popularity=813.615073451 , v_popularity=1898.59875961
san francisco bay : f_popularity=78.7492063492 , v_popularity=111.369879231
mole chicken : f_popularity=3.0 , v_popularity=4.24264068712
pita : f_popularity=28.813559322 , v_popularity=42.201895692
olive oil : f_popularity=2.76923076923 , v_popularity=4.9244289009
